ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
6727365,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Phone,,52473,13,primary_indiv2__phone,392837d6-2466-4bb2-a65e-a5d7a805029e,TextField,,Delete Parent ID,primary_indiv2__phone,8227,false,primary_indiv2__phone,false,false,,,,,,50,Delete,false,false
6727349,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Relationship to Insured,,52473,3,primary_indiv2__relationship,bd3fb8e4-0650-40b2-be12-fc9ac1803fef,BeneficiaryRelationshipDropdown,,Delete Parent ID,primary_indiv2__relationship,8227,false,primary_indiv2__relationship,false,false,,,,,,41,Delete,false,false
6727362,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,ZIP,,52473,11,primary_indiv2__zip,89202eca-341e-4cee-9e63-be69608d321d,TextField,,Delete Parent ID,primary_indiv2__zip,8227,false,primary_indiv2__zip,false,false,,,,,,48,Delete,false,false
6727379,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Address,,52473,8,primary_indiv3__address,95f1b2f0-4c46-4748-bcbf-2011183cfc59,TextField,,Delete Parent ID,primary_indiv3__address,8227,false,primary_indiv3__address,false,false,,,,,,56,Delete,false,false
6727377,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Date of Birth,,52473,7,primary_indiv3__dob,fabb31a1-e496-40f3-b7ae-e6a4b822edd7,TextField,,Delete Parent ID,primary_indiv3__dob,8227,false,primary_indiv3__dob,false,false,,,,,,55,Delete,false,false
6727369,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Irrevocable Beneficiary,,52473,2,primary_indiv3__irrevocable,2711b82b-76cb-408d-b896-9e999b8037c6,Checkbox,,Delete Parent ID,primary_indiv3__irrevocable,8227,false,primary_indiv3__irrevocable,false,false,,,,,,283,Delete,false,false
6727413,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Address,,52473,8,primary_ent2__address,d726405c-5fd2-4b76-a5b0-e806c29ec9d1,TextField,,Delete Parent ID,primary_ent2__address,8227,false,primary_ent2__address,false,false,,,,,,76,Delete,false,false
6727410,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Allocation,,52473,5,primary_ent2__allocation,6ee4294f-7012-4c23-8e34-008248cf2200,TextField,,Delete Parent ID,primary_ent2__allocation,8227,false,primary_ent2__allocation,false,false,,,,,,72,Delete,false,false
6727414,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,City,,52473,9,primary_ent2__city,86880919-27f4-4971-8f77-282bb0d1e7be,TextField,,Delete Parent ID,primary_ent2__city,8227,false,primary_ent2__city,false,false,,,,,,77,Delete,false,false
6727409,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Contact Name,,52473,4,primary_ent2__contact,f0e337f3-a25a-4efd-9d43-713ee3e6b5ec,TextField,,Delete Parent ID,primary_ent2__contact,8227,false,primary_ent2__contact,false,false,,,,,,74,Delete,false,false
6727417,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Email,,52473,12,primary_ent2__email,4e590e7f-59af-4828-bdd8-6c707ec1853b,TextField,,Delete Parent ID,primary_ent2__email,8227,false,primary_ent2__email,false,false,,,,,,81,Delete,false,false
6727412,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,As interest may appear,,52473,7,primary_ent2__interest,d7250fad-125d-4730-b3d0-09914b915dfb,Checkbox,,Delete Parent ID,primary_ent2__interest,8227,false,primary_ent2__interest,false,false,,,,,,295,Delete,false,false
6727408,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Irrevocable Beneficiary,,52473,3,primary_ent2__irrevocable,3bd467c4-ed90-4449-82f3-d227179bfe25,Checkbox,,Delete Parent ID,primary_ent2__irrevocable,8227,false,primary_ent2__irrevocable,false,false,,,,,,285,Delete,false,false
